Peutinger-Gymnasium Augsburg;An der Blauen Kappe 10;86152;Augsburg;16
Rudolf-Diesel-Gymnasium Augsburg;Peterhofstr. 9;86163;Augsburg;16
Simpert-Kraemer-Gymnasium Krumbach;Jochnerstr. 30;86381;Krumbach;16
Allg\"au-Gymnasium Kempten;Eberhard-Schobacher-Weg 1;87435;Kempten;16
Hildegardis-Gymnasium Kempten;Lindauer Str. 22;87439;Kempten;16
Gabrieli-Gymnasium Eichst\"att;Luitpoldstr. 40;85072;Eichst\"att;16
Gymnasium Markt Indersdorf;Arnbacher Str. 40;85229;Markt Indersdorf;16
Ignaz-K\"ogler-Gymnasium \\ Landsberg am Lech;Lechstr. 6;86899;Landsberg;16
Welfen-Gymnasium Schongau;Dornauer Weg 21;86956;Schongau;16
Wernher-von-Braun-Gymnasium Friedberg;Rothenbergstr. 3;86316;Friedberg;17
Justus-von-Liebig-Gymnasium Neus\"a\ss ;Landrat-Dr.-Frey-Str. 4;86356;Neus\"a\ss ;17
Werner-von-Siemens-Gymnasium Wei\ss enburg;An der Hagenau 24;91781;Wei\ss enburg;17
Graf-Rasso-Gymnasium F\"urstenfeldbruck;M\"unchner Str. 69;82256;F\"urstenfeldbruck;17
Gymnasium Donauw\"orth;Pyrkstockstr. 1;86609;Donauw\"orth;18
Descartes-Gymnasium Neuburg a. d. Donau;Frauenplatz B 88;86633;Neuburg an der Donau;18
Viscardi-Gymnasium F\"urstenfeldbruck;Balduin-Helm-Str. 2;82256;F\"urstenfeldbruck;18
Holbein-Gymnasium Augsburg;Hallstr. 10;86150;Augsburg;20
Jakob-Brucker-Gymnasium Kaufbeuren;Neugablonzer Str. 38;87600;Kaufbeuren;20
Staatliche Fachoberschule Augsburg;Alter Postweg 86 a;86159;Augsburg;20
Gymnasium K\"onigsbrunn;Alter Postweg 3;86343;K\"onigsbrunn;23
Gymnasium Weilheim i. OB;Murnauer Str. 12;82362;Weilheim;24
